periodo,ganancias,ganancias dgi,ganancias dga,iva,iva dgi,devoluciones (-),iva dga,reintegros (-),internos coparticipados,otros coparticipados,derechos de exportacion,bienes personales,creditos y debitos en cta. cte,otros impuestos (3),aportes personales,contribuciones patronales,otros ingresos seguridad social (4),subtotal dgi,subtotal dga (5),total dgi-dga,sistema seguridad social,total recursos tributarios,clasificacion presupuestaria,administracion nacional
2018-02,45419.00529668,42109.19937693,3309.80591975,77705.21550892,57017.87194263,1500.0,22187.34356629,1500.0,6249.88187941,616.49934067,5623.2055044,663.59424561,16856.06832646,3514.2049744,25675.93049631,38647.75297793,2839.13906978,130988.64505814,38882.09081435,169870.73587249,65795.53152732,235666.26739981,235666.26739981,90318.5874916021
2018-03,48557.39069638,45027.51378635,3529.87691003,79964.9810083,57569.49870712,2200.0,24595.48230118,1500.0,5781.61212577,773.06864408,3063.0733595,1828.6727681,16549.98066252,1813.56807467,26307.08358135,39083.01771455,3107.69888478,131376.97635615,40159.28042968,171536.25678583,67299.69391158,238835.95069741,238835.95069741,89446.1631374589
2018-04,41591.3111149,37359.65610798,4231.65500692,82581.47051284,57740.72543427,1800.0,26640.74507857,5000.0,6935.04290422,924.943893405,8779.72239565,550.62656392,15275.43061507,-451.280309825001,26683.48595367,39877.05514735,3148.24940388,118498.90485909,49472.94338601,167971.8482451,68255.45447801,236227.30272311,236227.30272311,88381.4954793357
2018-05,76418.74684584,71742.63779718,4676.10904866,87324.23889683,57784.50660609,1350.0,30889.73229074,1700.0,6430.34436375,1031.291222215,10841.87422127,602.93739857,19066.14814792,6490.134472715,27532.72239495,39272.52835264,3235.32562482,167745.08348197,59074.04854044,226819.13202241,68601.8021591,295420.93418151,295420.93418151,115871.468569034
2018-06,90350.3899878,86227.87119048,4122.51879732,92127.48064242,63409.22608738,1000.0,29718.25455504,2550.0,5665.36819993,1609.393203265,10727.93307199,3574.73713927,20176.36099019,-10643.001092055,28391.53622286,39825.80302447,3133.30814657,173186.15229185,55878.33518888,229064.48748073,69788.80541263,298853.29289336,298853.29289336,124568.883499715
2018-07,59703.32522347,55072.8459271,4630.47929637,91454.07649523,60083.19591443,2850.0,34220.8805808,3900.0,5692.69685363,859.135318455,7354.82927872,1215.68986663,18738.90327655,3034.45783849501,36199.16243446,51568.4360881,3220.14832541,145268.34523387,59593.12805184,204861.47328571,89032.51524744,293893.98853315,293893.98853315,107848.110350129
2018-08,68700.87495202,63775.47470782,4925.4002442,98116.10089687,63155.14250803,1950.0,36910.95838884,3750.0,5411.85192402,954.778825215,6358.57216655,1771.55657171,20745.33628401,2636.265517755,28173.58319356,40129.22272891,3000.5981305,160798.35692943,62703.77958547,223502.1365149,69916.2695792,293418.4060941,293418.4060941,118848.62531239
2018-09,59397.78241562,54260.66735103,5137.11506459,103570.00835067,65674.61288578,1500.0,39395.39546489,3500.0,6057.4246615,970.415121685,13206.70366373,765.6169873,22268.17649316,1725.087185655,28658.51734429,40549.20829914,3199.67823948,153550.97238904,71617.11281491,225168.08520395,70649.55837279,295817.64357674,295817.64357674,125394.13284296
2018-10,63742.85074212,58199.77902419,5543.07171793,110762.41226611,73902.43464404,2500.0,39359.97762207,3700.0,6554.19755658,880.47347155,14051.08347805,1290.05802277,21510.46262682,2428.60762326,29955.78474257,42989.2104982,3119.43867225,165018.34403379,72866.44509153,237884.78912532,74624.0377271,312508.82685242,312508.82685242,131407.26690611
2018-11,65415.15763781,60921.82126162,4493.33637619,96792.0399651,73188.35965924,2500.0,26103.68030586,3350.0,6217.20681072,1047.733035955,14714.57216924,430.11890641,23562.22530563,2320.339001575,30230.94594647,43199.65751778,3209.46993644,169683.97712035,55843.73820161,225527.71532196,74591.65204982,300119.36737178,300119.36737178,125725.533265814
